"EventId","Station","SampleDate","SampleTime","Longitude","CHLA","DIN","DO","DOC","DON","DOP","FCOLI_C","FSS","KD","NH4F","NO23F","NO2F","NO3F","PC","PH","PHEO","PN","PO4F","PP","SALINITY","SECCHI","SIF","SIGMA_T","SPCOND","TDN","TDP","TN","TON","TP","TSS","TURB_NTU","VSS","WTEMP"
416889,"TF5.5A","2015-06-18","12:00:00",-77.1284,45.6,0.0415,NA,NA,0.2565,0.011,25,19,NA,0.04,0.002,0.002,0,3.08,8.58,20.7,0.484,0.002,0.0772,NA,0.4,NA,NA,219,0.298,0.013,0.782,0.7405,NA,29,14.2,10,29.73
416890,"TF5.6","2015-05-05","11:50:00",-76.99057,11.4,0.305,9.14,NA,0.203,0.003,25,8,NA,0.018,0.287,0.008,0.279,0.99,7.58,9.28,0.136,0.008,0.0291,NA,0.7,NA,NA,142,0.508,0.011,NA,NA,NA,12,8.16,4,18.31
416891,"TF5.6","2015-06-18","11:30:00",-76.99057,27.8,0.033,NA,NA,0.227,0.012,25,11,NA,0.015,0.018,0.002,0.0165,1.78,7.85,13,0.319,0.01,0.0442,NA,0.8,NA,NA,207,0.26,0.022,0.579,0.546,0.0662,18,9.47,7,20.94
422016,"LE5.1","2016-02-17","09:45:00",-76.64833,4.77,0.458,12.89,NA,0.168,0.005,25,15,NA,0.07,0.388,0.002,0.386,0.725,7.89,2.22,0.098,0.014,0.0328,1.2,0.5,NA,1.00015,2423,0.626,0.019,NA,NA,0.0518,18,17.4,3,4.37
422017,"LE5.1","2016-03-01","09:45:00",-76.64833,3.03,NA,11.6,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,1.28,7.72,1.66,0.146,NA,0.0496,0.07,0.4,NA,-0.09967,157,NA,NA,NA,NA,NA,NA,NA,NA,9.01
422018,"LE5.1","2016-05-19","10:15:00",-76.64833,6.82,0.16,7.99,NA,0.207,0.002,25,20,NA,0.03,0.13,0.002,0.128,0.776,7.77,6.68,0.112,0.014,0.0375,1.31,0.4,NA,-0.68537,2334,0.367,0.016,NA,NA,0.0535,22,21.8,2,19.78
422019,"LE5.1","2016-06-09","10:25:00",-76.64833,10,0.09,7.21,NA,0.185,0.003,25,45,NA,0.01,0.08,0.002,0.078,1.34,7.56,7.21,0.202,0.022,0.0707,0.27,0.2,NA,-2.93187,566,0.275,0.025,0.477,0.387,0.0957,53,38.9,8,25.93
422074,"RET5.2","2016-02-17","10:15:00",-76.78219,2.69,0.427,12.87,NA,0.1815,0.011,50,29.5,4.2196,0.0585,0.3685,0.0035,0.365,1.505,7.77,3.55,0.1485,0.012,0.0589,0.09,0.3,4.0187,0.11028,185,0.6085,0.023,NA,NA,0.0819,35,36.25,5.5,4.14
422075,"RET5.2","2016-03-01","10:15:00",-76.78219,2.56,NA,11.49,3.7,NA,NA,25,NA,3.4742,NA,NA,NA,NA,2.12,7.7,1.37,0.258,NA,0.0484,0.07,0.3,NA,-0.08423,141,NA,NA,NA,NA,NA,NA,NA,NA,8.8
422076,"RET5.2","2016-05-19","10:45:00",-76.78219,9.98,0.239,8.73,5.04,0.25,0.006,25,24,2.7685,0.013,0.226,0.004,0.222,1.17,7.94,8.55,0.166,0.012,0.0429,0.07,0.4,2.8037,-1.57775,160,0.489,0.018,0.655,0.416,0.0609,29,27.7,5,19.5
422077,"RET5.2","2016-06-09","11:00:00",-76.78219,27,0.022,8.57,4.34,0.22,0.008,25,25,3.3196,0.003,0.019,0.002,0.017,1.64,7.99,11.1,0.268,0.007,0.0557,0.06,0.4,2.1963,-3.01925,126,0.237,0.015,0.505,NA,0.0707,31,19.9,6,25.66
422143,"TF5.5","2016-03-15","13:10:00",-77.23283,7.14,0.503,9.29,2.4,0.064,0.005,25,12,NA,0.081,0.422,0.005,0.417,0.93,7.35,3.02,0.06,0.01,0.0318,NA,0.6,4.1589,NA,170,0.567,0.015,0.612,0.109,0.0468,16,13.1,4,15.5
422144,"TF5.5","2016-04-14","12:00:00",-77.23283,22.3,0.141,10.89,2.76,0.16,0.008,75,8,NA,0.009,0.132,0.003,0.129,1.12,7.91,9.06,0.203,0.005,0.0356,NA,0.7,2.5701,NA,178,0.304,0.013,NA,NA,NA,12,7.11,4,15.02
422145,"TF5.5","2016-05-12","11:50:00",-77.23283,5.5,0.343,8.11,4.4,0.251,0.009,50,13,2.8887,0.067,0.276,0.007,0.269,0.302,7,1.28,0.114,0.014,0.0224,0.03,0.7,4.5794,-1.47784,90,0.594,0.023,NA,NA,0.0454,18,15,5,18.84
